feature,mean_importance
koi_steff,-0.001962334400288396
koi_duration,-0.0012988851945453072
koi_kepmag,-0.0003973293410215517
koi_incl,-0.00038710650457021435
koi_fwm_sra,-0.00034214731976231206
koi_dikco_mra,-0.0003070923352977012
koi_dikco_mdec,-0.0002458007175860116
koi_rmag,-0.00014457846950637065
koi_smass,-0.00012457643220520898
koi_hmag,-0.0001111009726804002
koi_time0bk,-0.00010110955814114086
koi_ldm_coeff2,-7.802211609722609e-05
koi_fwm_prao,-5.7429569079681106e-05
koi_kmag,-3.432287494037345e-05
koi_ldm_coeff1,-2.3629482698275807e-05
koi_tce_plnt_num,0.0
koi_time0,2.183655770889026e-05
koi_depth,2.9987120377431008e-05
koi_imag,5.196664193470868e-05
koi_quarters,7.024057554030627e-05
koi_bin_oedp_sig,8.351213159578097e-05
koi_gmag,0.00010232619521983178
koi_slogg,0.00014759382319959048
koi_sma,0.0001497967904674047
koi_fwm_sdec,0.00018692445080763508
koi_zmag,0.0002364480428858673
koi_dicco_mdec,0.00030068942724014727
ra,0.0003589286996071861
koi_fwm_pdeco,0.00048244685368044327
koi_dicco_mra,0.0005124954526879583
koi_fwm_sdeco,0.0005159191413035835
koi_teq,0.0005698948762234424
dec,0.0005899459899057601
koi_fwm_srao,0.0008566090816767957
koi_max_sngle_ev,0.0010597127226228548
koi_srad,0.0011656791166557213
koi_insol,0.0015790797863015765
koi_jmag,0.0018677863546394612
koi_smet,0.001963234465163127
koi_num_transits,0.0026901482313224645
koi_impact,0.003582463172806802
koi_model_snr,0.0036975878817622682
koi_period,0.005956489365248274
koi_srho,0.006793657438789952
koi_dor,0.008676245538757992
koi_dicco_msky,0.011216063828200767
koi_fwm_stat_sig,0.011764726764673874
koi_max_mult_ev,0.021242645763695625
koi_count,0.02400808215761164
koi_ror,0.02799000523231529
koi_prad,0.047193109526261004
koi_dikco_msky,0.08014598509067326
rowid,0.14960724530666386
