feature,mean_importance
koi_fwm_sdeco,-0.0007914300944951491
koi_tce_plnt_num,-0.00014241796443410505
koi_time0bk,-0.00010504712834893403
koi_time0,-0.00010488700977203668
koi_zmag,-4.6612255681688366e-05
koi_model_snr,-1.2244538304445607e-05
koi_fwm_prao,7.181932760369492e-06
koi_fwm_pdeco,1.6972800462428105e-05
koi_dicco_mra,1.990811178924079e-05
koi_fwm_srao,7.230178272662479e-05
koi_ldm_coeff2,9.911263363531763e-05
koi_prad,0.00021888418919258635
koi_dicco_mdec,0.0003504358612206604
koi_slogg,0.00042681187737041994
koi_bin_oedp_sig,0.000520123730979194
koi_ldm_coeff1,0.0005683138425622125
koi_hmag,0.000573052401576446
koi_dikco_mra,0.0005889477388874686
koi_quarters,0.0008134138032933613
dec,0.0009818757215839524
koi_dikco_mdec,0.0014018948251968643
koi_fwm_sdec,0.002672523387291947
koi_rmag,0.002815937233772553
koi_smass,0.0035963022975679993
koi_kepmag,0.004937075861828582
koi_srad,0.005112364006433656
koi_srho,0.005296538705623022
koi_fwm_stat_sig,0.006138536721472326
koi_insol,0.007654018230138959
koi_period,0.009024850850365529
koi_duration,0.009209945080051235
koi_steff,0.009305452655044738
ra,0.009432195016979816
koi_sma,0.012323800800915136
koi_gmag,0.014354598800148116
koi_num_transits,0.015218213671720871
koi_smet,0.01629115831550173
koi_incl,0.019594863824324855
koi_fwm_sra,0.021527240723961522
koi_kmag,0.021539354626225388
koi_count,0.023991121178815567
koi_teq,0.02896421150466181
koi_ror,0.03446936275843841
koi_jmag,0.03958934668489602
koi_dor,0.04874626909535888
koi_impact,0.056579436700043804
koi_dicco_msky,0.06779639280089739
koi_imag,0.09918681760528912
koi_max_sngle_ev,0.10249917911154909
koi_max_mult_ev,0.1106684270727905
rowid,0.1501843363051572
koi_dikco_msky,0.15182559508653887
koi_depth,0.35557951668572757
