feature,weight
intercept,4.821283827324603
rowid,1.5278538184789732
koi_period,0.4768168159408009
koi_time0bk,0.11593875107367987
koi_time0,0.11597223446478946
koi_impact,3.8540806916757675
koi_duration,0.5484237345164796
koi_depth,3.931008953288866
koi_ror,2.2520407837637353
koi_srho,0.5685147342365381
koi_prad,0.21994658633485975
koi_sma,-1.6311897364097216
koi_incl,-0.6921834117919033
koi_teq,0.7465360151613935
koi_insol,0.4839472008064542
koi_dor,1.172201056825356
koi_ldm_coeff2,0.757602535589356
koi_ldm_coeff1,0.9413250502512923
koi_max_sngle_ev,2.265656559228523
koi_max_mult_ev,2.077974081370276
koi_model_snr,-0.17964674497246033
koi_count,-0.7651794281704911
koi_num_transits,0.4739701312093635
koi_tce_plnt_num,-0.14947408399354087
koi_quarters,0.11080413474922146
koi_bin_oedp_sig,-0.3150220767757407
koi_steff,0.47619123974501554
koi_slogg,0.0697047943441544
koi_smet,-2.2167508873037076
koi_srad,0.3252532691129056
koi_smass,0.3037277324476155
ra,-0.45965505400271733
dec,0.09070858076095933
koi_kepmag,0.3992173336910289
koi_gmag,0.6180583605331464
koi_rmag,0.31289337029766695
koi_imag,-1.3933170362251621
koi_zmag,0.09498637012101273
koi_jmag,1.0623638714775756
koi_hmag,-0.06274413595450237
koi_kmag,-0.6401754272074286
koi_fwm_stat_sig,-1.6531719244565404
koi_fwm_sra,0.6143621108582435
koi_fwm_sdec,-0.3000933772370982
koi_fwm_srao,-0.1092736993722638
koi_fwm_sdeco,0.08303167538722987
koi_fwm_prao,-0.059116796437938816
koi_fwm_pdeco,0.040214092772752834
koi_dicco_mra,-0.014209482692931305
koi_dicco_mdec,-0.18230142856360715
koi_dicco_msky,1.5968642491754732
koi_dikco_mra,0.15576042071584034
koi_dikco_mdec,0.2566044276866857
koi_dikco_msky,2.3697000988303834
