feature,mean_importance
koi_slogg,-0.0006694379837588971
koi_ldm_coeff1,-0.000595034121278501
koi_dikco_mra,-0.0005582623452051238
koi_hmag,-0.0005002539366037006
koi_gmag,-0.00036166199760048756
koi_fwm_pdeco,-0.000316818838148486
koi_kmag,-0.0002185638315132299
ra,-8.865454908981163e-05
koi_dikco_mdec,-6.494678437448942e-05
koi_incl,-4.945324012879393e-05
koi_tce_plnt_num,0.0
koi_kepmag,4.2269309823816935e-06
koi_time0,2.577065436419612e-05
koi_time0bk,3.473634809024462e-05
koi_ldm_coeff2,0.00012387292930300108
koi_zmag,0.00016532564293814667
koi_rmag,0.00016569627390041475
koi_smass,0.0001691927808706667
koi_quarters,0.00019928491778725964
koi_dicco_mdec,0.00021151608374644082
koi_jmag,0.00029201486110189687
koi_fwm_sra,0.0003880154230175126
koi_dicco_mra,0.0003951958814768258
koi_fwm_sdec,0.00041661345712236674
koi_steff,0.0005429853860719952
dec,0.0005469047933856664
koi_srad,0.0006850039528194157
koi_teq,0.0007245377083182153
koi_bin_oedp_sig,0.0007764171716081348
koi_fwm_prao,0.0010140722901413823
koi_fwm_srao,0.001326446173667245
koi_imag,0.0013610654177459048
koi_fwm_sdeco,0.0015003719094805273
koi_sma,0.001888975472469251
koi_depth,0.0023565217482565655
koi_duration,0.003830966329296667
koi_num_transits,0.004554916155913069
koi_impact,0.004818980262381464
koi_insol,0.005145512964960561
koi_max_sngle_ev,0.006405117522831935
koi_period,0.006570002545363593
koi_srho,0.006744956202288608
koi_fwm_stat_sig,0.006988756225664358
koi_smet,0.007705717588711425
koi_dor,0.016866558770731337
koi_dicco_msky,0.019285796285979963
koi_ror,0.021660963823922692
koi_model_snr,0.025031585007555944
koi_count,0.033749861010496374
koi_max_mult_ev,0.05171815051491389
koi_dikco_msky,0.051900519187341024
koi_prad,0.19552826723795702
