feature,mean_importance
koi_duration,-0.000631421232657331
koi_dicco_mdec,-0.00023765828521578601
koi_dikco_mdec,-6.497454435996919e-05
koi_dicco_mra,-4.4185259685780574e-05
koi_insol,-1.2879178879493525e-05
koi_smass,-5.609974429254816e-06
koi_teq,-4.824898426314394e-06
koi_srho,-2.4586778441360034e-06
koi_period,-6.106226635438361e-17
koi_time0,-4.9960036108132046e-17
koi_bin_oedp_sig,-3.8857805861880476e-17
koi_fwm_pdeco,-3.8857805861880476e-17
koi_srad,-3.3306690738754695e-17
dec,-3.3306690738754695e-17
koi_depth,-2.7755575615628914e-17
koi_dikco_mra,-2.2204460492503132e-17
koi_imag,-2.2204460492503132e-17
koi_ldm_coeff1,-1.1102230246251566e-17
koi_fwm_sdec,4.487813971820742e-06
koi_slogg,5.008203356871021e-06
koi_time0bk,5.910717148849276e-06
koi_sma,1.2589931132284126e-05
koi_kmag,1.6199702450586663e-05
ra,1.889334154834832e-05
koi_zmag,2.126069897945837e-05
koi_quarters,4.801804976042878e-05
koi_gmag,5.028393552944932e-05
koi_rmag,5.772852783546556e-05
koi_ldm_coeff2,6.386437869737582e-05
koi_hmag,8.401612184320007e-05
koi_num_transits,0.00010247243390558714
koi_kepmag,0.0001625938612379696
koi_max_sngle_ev,0.0002059648947541015
koi_jmag,0.00021092652337868502
koi_fwm_sra,0.00022295216464747193
koi_steff,0.0003054275212421853
koi_fwm_prao,0.0003613808137041041
koi_tce_plnt_num,0.0003872608026009805
koi_fwm_sdeco,0.0006524646522558242
koi_incl,0.0009222298406535379
koi_impact,0.0010559028498482725
koi_smet,0.0034223232266508584
koi_model_snr,0.005137482078369282
koi_max_mult_ev,0.005258502434343853
koi_fwm_srao,0.007084817650824754
koi_dor,0.009906491396308403
koi_dicco_msky,0.010632857819309467
koi_ror,0.01880267553280085
koi_fwm_stat_sig,0.05710744671374564
koi_prad,0.06195350092336802
koi_count,0.0680523809362573
koi_dikco_msky,0.14721828098998035
rowid,0.3689492121362232
