feature,mean_importance
koi_dicco_mdec,-0.0009247947946953994
koi_jmag,-0.0007792444140916038
koi_sma,-0.000743598922738184
koi_dikco_mra,-0.000603338930001876
koi_steff,-0.0005954759551068084
koi_fwm_prao,-0.0005780396659171378
koi_imag,-0.0004028625588493706
koi_hmag,-0.000289673876315269
koi_ldm_coeff2,-0.00025259341398005674
koi_dicco_mra,-0.00024536419991153804
koi_time0,-0.00023683180705837693
koi_dikco_mdec,-0.00023197205536234778
koi_ldm_coeff1,-0.00019097050017629624
koi_kepmag,-0.00013895713364204255
koi_zmag,-1.8617012685034905e-05
koi_quarters,5.8709118556019016e-05
koi_gmag,8.290593125870049e-05
ra,9.294443009054132e-05
koi_bin_oedp_sig,0.00011489608091957981
koi_fwm_sra,0.00013284723904888885
koi_slogg,0.00015240064446509215
koi_rmag,0.00025560328015502567
koi_fwm_pdeco,0.0002627553220986956
koi_tce_plnt_num,0.00027993025692712726
koi_fwm_sdec,0.00044142611106704475
dec,0.0005102644345962776
koi_time0bk,0.0005208497769830983
koi_smass,0.0005223303094033266
koi_kmag,0.0005713785872872052
koi_teq,0.0009330185368522315
koi_depth,0.0010072493287553914
koi_fwm_sdeco,0.001197870246106353
koi_incl,0.0013108357234972417
koi_srad,0.0016961638914706812
koi_impact,0.002313029917613801
koi_fwm_srao,0.0028602660331842806
koi_duration,0.003450342455357233
koi_insol,0.004617044176400168
koi_num_transits,0.005021856266477232
koi_period,0.006018416732148801
koi_fwm_stat_sig,0.0062861503389642385
koi_smet,0.00644893677419823
koi_max_sngle_ev,0.007155589311779118
koi_srho,0.007714442335773028
koi_dicco_msky,0.012805707081258588
koi_dor,0.013696779158251734
koi_ror,0.013884776519324443
koi_model_snr,0.019229858548952858
koi_count,0.02067224417092265
koi_max_mult_ev,0.04437618237913917
koi_dikco_msky,0.053341493902354944
koi_prad,0.11230513302255132
